season,period,status,model,seed,horizon_h,mae,rmse,mape,r2,coverage,interval_width
autumn,2024-11,ok,temporal_mlp,2028.0,1.0,3.6690218448638916,5.461502552032471,6.618753910064697,0.9505031108856201,,
autumn,2024-11,ok,temporal_mlp,2028.0,2.0,3.826472282409668,5.6808180809021,6.935420513153076,0.9465662240982056,,
autumn,2024-11,ok,temporal_mlp,2028.0,3.0,3.9550907611846924,5.8508124351501465,7.193585395812988,0.9434158802032471,,
autumn,2024-11,ok,temporal_mlp,2028.0,6.0,4.009767532348633,5.916689872741699,7.290099620819092,0.9418762922286987,,
autumn,2024-11,ok,dgt_identity_adaptive,2028.0,1.0,3.77593994140625,5.540101528167725,6.723794460296631,0.9490681886672974,0.7339154411764706,10.552055358886719
autumn,2024-11,ok,dgt_identity_adaptive,2028.0,2.0,3.9103033542633057,5.799244403839111,6.978356838226318,0.9443151354789734,0.7737438725490197,11.029284477233887
autumn,2024-11,ok,dgt_identity_adaptive,2028.0,3.0,3.9284284114837646,5.828392028808594,7.078110218048096,0.943848729133606,0.8192401960784313,13.103829383850098
autumn,2024-11,ok,dgt_identity_adaptive,2028.0,6.0,4.263102054595947,6.338080883026123,7.922399997711182,0.9333022236824036,0.7267156862745098,12.20840835571289
autumn,2024-11,ok,dgt_directed_road_adaptive,2028.0,1.0,3.7828288078308105,5.545654296875,6.7694783210754395,0.9489660263061523,0.7282475490196079,10.428671836853027
autumn,2024-11,ok,dgt_directed_road_adaptive,2028.0,2.0,3.9087884426116943,5.794300556182861,6.97646427154541,0.9444100260734558,0.7791053921568627,11.128498077392578
autumn,2024-11,ok,dgt_directed_road_adaptive,2028.0,3.0,3.9254703521728516,5.819125652313232,7.086055755615234,0.9440271258354187,0.8235294117647058,13.192703247070312
autumn,2024-11,ok,dgt_directed_road_adaptive,2028.0,6.0,4.282054424285889,6.35720682144165,7.95132303237915,0.9328991174697876,0.7245710784313726,12.127784729003906
