period,model,seed,horizon_h,origin_timestamp,target_timestamp,target_date,mae_across_nodes
2024-05,historical_average,-1,2,2024-05-26 16:00:00,2024-05-26 17:00:00,2024-05-26,2.7083330154418945
2024-05,historical_average,-1,3,2024-05-26 16:00:00,2024-05-26 18:00:00,2024-05-26,3.7135419845581055
2024-05,historical_average,-1,6,2024-05-26 16:00:00,2024-05-26 21:00:00,2024-05-26,3.1666665077209473
2024-05,historical_average,-1,1,2024-05-26 17:00:00,2024-05-26 17:00:00,2024-05-26,2.7083330154418945
2024-05,historical_average,-1,2,2024-05-26 17:00:00,2024-05-26 18:00:00,2024-05-26,3.7135419845581055
2024-05,historical_average,-1,3,2024-05-26 17:00:00,2024-05-26 19:00:00,2024-05-26,3.3125
2024-05,historical_average,-1,6,2024-05-26 17:00:00,2024-05-26 22:00:00,2024-05-26,3.890625476837158
2024-05,historical_average,-1,1,2024-05-26 18:00:00,2024-05-26 18:00:00,2024-05-26,3.7135419845581055
2024-05,historical_average,-1,2,2024-05-26 18:00:00,2024-05-26 19:00:00,2024-05-26,3.3125
2024-05,historical_average,-1,3,2024-05-26 18:00:00,2024-05-26 20:00:00,2024-05-26,3.6927080154418945
2024-05,historical_average,-1,6,2024-05-26 18:00:00,2024-05-26 23:00:00,2024-05-26,4.3802080154418945
2024-05,historical_average,-1,1,2024-05-26 19:00:00,2024-05-26 19:00:00,2024-05-26,3.3125
2024-05,historical_average,-1,2,2024-05-26 19:00:00,2024-05-26 20:00:00,2024-05-26,3.6927080154418945
2024-05,historical_average,-1,3,2024-05-26 19:00:00,2024-05-26 21:00:00,2024-05-26,3.1666665077209473
2024-05,historical_average,-1,6,2024-05-26 19:00:00,2024-05-28 00:00:00,2024-05-28,3.6666669845581055
2024-05,historical_average,-1,1,2024-05-26 20:00:00,2024-05-26 20:00:00,2024-05-26,3.6927080154418945
2024-05,historical_average,-1,2,2024-05-26 20:00:00,2024-05-26 21:00:00,2024-05-26,3.1666665077209473
2024-05,historical_average,-1,3,2024-05-26 20:00:00,2024-05-26 22:00:00,2024-05-26,3.890625476837158
2024-05,historical_average,-1,6,2024-05-26 20:00:00,2024-05-28 01:00:00,2024-05-28,5.3072919845581055
2024-05,historical_average,-1,1,2024-05-26 21:00:00,2024-05-26 21:00:00,2024-05-26,3.1666665077209473
2024-05,historical_average,-1,2,2024-05-26 21:00:00,2024-05-26 22:00:00,2024-05-26,3.890625476837158
2024-05,historical_average,-1,3,2024-05-26 21:00:00,2024-05-26 23:00:00,2024-05-26,4.3802080154418945
2024-05,historical_average,-1,6,2024-05-26 21:00:00,2024-05-28 02:00:00,2024-05-28,5.4739580154418945
2024-05,historical_average,-1,1,2024-05-26 22:00:00,2024-05-26 22:00:00,2024-05-26,3.890625476837158
2024-05,historical_average,-1,2,2024-05-26 22:00:00,2024-05-26 23:00:00,2024-05-26,4.3802080154418945
2024-05,historical_average,-1,3,2024-05-26 22:00:00,2024-05-28 00:00:00,2024-05-28,3.6666669845581055
2024-05,historical_average,-1,6,2024-05-26 22:00:00,2024-05-28 03:00:00,2024-05-28,5.0989580154418945
2024-05,historical_average,-1,1,2024-05-26 23:00:00,2024-05-26 23:00:00,2024-05-26,4.3802080154418945
2024-05,historical_average,-1,2,2024-05-26 23:00:00,2024-05-28 00:00:00,2024-05-28,3.6666669845581055
2024-05,historical_average,-1,3,2024-05-26 23:00:00,2024-05-28 01:00:00,2024-05-28,5.3072919845581055
2024-05,historical_average,-1,6,2024-05-26 23:00:00,2024-05-28 04:00:00,2024-05-28,4.843750476837158
2024-05,historical_average,-1,1,2024-05-28 00:00:00,2024-05-28 00:00:00,2024-05-28,3.6666669845581055
2024-05,historical_average,-1,2,2024-05-28 00:00:00,2024-05-28 01:00:00,2024-05-28,5.3072919845581055
2024-05,historical_average,-1,3,2024-05-28 00:00:00,2024-05-28 02:00:00,2024-05-28,5.4739580154418945
2024-05,historical_average,-1,6,2024-05-28 00:00:00,2024-05-28 05:00:00,2024-05-28,3.8020830154418945
2024-05,historical_average,-1,1,2024-05-28 01:00:00,2024-05-28 01:00:00,2024-05-28,5.3072919845581055
2024-05,historical_average,-1,2,2024-05-28 01:00:00,2024-05-28 02:00:00,2024-05-28,5.4739580154418945
2024-05,historical_average,-1,3,2024-05-28 01:00:00,2024-05-28 03:00:00,2024-05-28,5.0989580154418945
2024-05,historical_average,-1,6,2024-05-28 01:00:00,2024-05-28 06:00:00,2024-05-28,2.8958334922790527
2024-05,historical_average,-1,1,2024-05-28 02:00:00,2024-05-28 02:00:00,2024-05-28,5.4739580154418945
2024-05,historical_average,-1,2,2024-05-28 02:00:00,2024-05-28 03:00:00,2024-05-28,5.0989580154418945
2024-05,historical_average,-1,3,2024-05-28 02:00:00,2024-05-28 04:00:00,2024-05-28,4.843750476837158
2024-05,historical_average,-1,6,2024-05-28 02:00:00,2024-05-28 07:00:00,2024-05-28,3.015625
2024-05,historical_average,-1,1,2024-05-28 03:00:00,2024-05-28 03:00:00,2024-05-28,5.0989580154418945
2024-05,historical_average,-1,2,2024-05-28 03:00:00,2024-05-28 04:00:00,2024-05-28,4.843750476837158
2024-05,historical_average,-1,3,2024-05-28 03:00:00,2024-05-28 05:00:00,2024-05-28,3.8020830154418945
2024-05,historical_average,-1,6,2024-05-28 03:00:00,2024-05-28 08:00:00,2024-05-28,2.34375
2024-05,historical_average,-1,1,2024-05-28 04:00:00,2024-05-28 04:00:00,2024-05-28,4.843750476837158
2024-05,historical_average,-1,2,2024-05-28 04:00:00,2024-05-28 05:00:00,2024-05-28,3.8020830154418945
2024-05,historical_average,-1,3,2024-05-28 04:00:00,2024-05-28 06:00:00,2024-05-28,2.8958334922790527
2024-05,historical_average,-1,6,2024-05-28 04:00:00,2024-05-28 09:00:00,2024-05-28,3.328125
2024-05,historical_average,-1,1,2024-05-28 05:00:00,2024-05-28 05:00:00,2024-05-28,3.8020830154418945
2024-05,historical_average,-1,2,2024-05-28 05:00:00,2024-05-28 06:00:00,2024-05-28,2.8958334922790527
2024-05,historical_average,-1,3,2024-05-28 05:00:00,2024-05-28 07:00:00,2024-05-28,3.015625
2024-05,historical_average,-1,6,2024-05-28 05:00:00,2024-05-28 10:00:00,2024-05-28,2.9765625
2024-05,historical_average,-1,1,2024-05-28 06:00:00,2024-05-28 06:00:00,2024-05-28,2.8958334922790527
2024-05,historical_average,-1,2,2024-05-28 06:00:00,2024-05-28 07:00:00,2024-05-28,3.015625
2024-05,historical_average,-1,3,2024-05-28 06:00:00,2024-05-28 08:00:00,2024-05-28,2.34375
2024-05,historical_average,-1,6,2024-05-28 06:00:00,2024-05-28 11:00:00,2024-05-28,3.0078125
2024-05,historical_average,-1,1,2024-05-28 07:00:00,2024-05-28 07:00:00,2024-05-28,3.015625
2024-05,historical_average,-1,2,2024-05-28 07:00:00,2024-05-28 08:00:00,2024-05-28,2.34375
2024-05,historical_average,-1,3,2024-05-28 07:00:00,2024-05-28 09:00:00,2024-05-28,3.328125
2024-05,historical_average,-1,6,2024-05-28 07:00:00,2024-05-28 12:00:00,2024-05-28,2.5703125
2024-05,historical_average,-1,1,2024-05-28 08:00:00,2024-05-28 08:00:00,2024-05-28,2.34375
2024-05,historical_average,-1,2,2024-05-28 08:00:00,2024-05-28 09:00:00,2024-05-28,3.328125
2024-05,historical_average,-1,3,2024-05-28 08:00:00,2024-05-28 10:00:00,2024-05-28,2.9765625
2024-05,historical_average,-1,6,2024-05-28 08:00:00,2024-05-28 13:00:00,2024-05-28,2.21875
2024-05,historical_average,-1,1,2024-05-28 09:00:00,2024-05-28 09:00:00,2024-05-28,3.328125
2024-05,historical_average,-1,2,2024-05-28 09:00:00,2024-05-28 10:00:00,2024-05-28,2.9765625
2024-05,historical_average,-1,3,2024-05-28 09:00:00,2024-05-28 11:00:00,2024-05-28,3.0078125
2024-05,historical_average,-1,6,2024-05-28 09:00:00,2024-05-28 14:00:00,2024-05-28,2.9609375
2024-05,historical_average,-1,1,2024-05-28 10:00:00,2024-05-28 10:00:00,2024-05-28,2.9765625
2024-05,historical_average,-1,2,2024-05-28 10:00:00,2024-05-28 11:00:00,2024-05-28,3.0078125
2024-05,historical_average,-1,3,2024-05-28 10:00:00,2024-05-28 12:00:00,2024-05-28,2.5703125
2024-05,historical_average,-1,6,2024-05-28 10:00:00,2024-05-28 15:00:00,2024-05-28,2.484375
2024-05,historical_average,-1,1,2024-05-28 11:00:00,2024-05-28 11:00:00,2024-05-28,3.0078125
2024-05,historical_average,-1,2,2024-05-28 11:00:00,2024-05-28 12:00:00,2024-05-28,2.5703125
2024-05,historical_average,-1,3,2024-05-28 11:00:00,2024-05-28 13:00:00,2024-05-28,2.21875
2024-05,historical_average,-1,6,2024-05-28 11:00:00,2024-05-28 16:00:00,2024-05-28,2.671875
2024-05,historical_average,-1,1,2024-05-28 12:00:00,2024-05-28 12:00:00,2024-05-28,2.5703125
2024-05,historical_average,-1,2,2024-05-28 12:00:00,2024-05-28 13:00:00,2024-05-28,2.21875
2024-05,historical_average,-1,3,2024-05-28 12:00:00,2024-05-28 14:00:00,2024-05-28,2.9609375
2024-05,historical_average,-1,6,2024-05-28 12:00:00,2024-05-28 17:00:00,2024-05-28,3.0859375
2024-05,historical_average,-1,1,2024-05-28 13:00:00,2024-05-28 13:00:00,2024-05-28,2.21875
2024-05,historical_average,-1,2,2024-05-28 13:00:00,2024-05-28 14:00:00,2024-05-28,2.9609375
2024-05,historical_average,-1,3,2024-05-28 13:00:00,2024-05-28 15:00:00,2024-05-28,2.484375
2024-05,historical_average,-1,6,2024-05-28 13:00:00,2024-05-28 18:00:00,2024-05-28,2.375
2024-05,historical_average,-1,1,2024-05-28 14:00:00,2024-05-28 14:00:00,2024-05-28,2.9609375
2024-05,historical_average,-1,2,2024-05-28 14:00:00,2024-05-28 15:00:00,2024-05-28,2.484375
2024-05,historical_average,-1,3,2024-05-28 14:00:00,2024-05-28 16:00:00,2024-05-28,2.671875
2024-05,historical_average,-1,6,2024-05-28 14:00:00,2024-05-28 19:00:00,2024-05-28,3.1796875
2024-05,historical_average,-1,1,2024-05-28 15:00:00,2024-05-28 15:00:00,2024-05-28,2.484375
2024-05,historical_average,-1,2,2024-05-28 15:00:00,2024-05-28 16:00:00,2024-05-28,2.671875
2024-05,historical_average,-1,3,2024-05-28 15:00:00,2024-05-28 17:00:00,2024-05-28,3.0859375
2024-05,historical_average,-1,6,2024-05-28 15:00:00,2024-05-28 20:00:00,2024-05-28,3.1484375
2024-05,historical_average,-1,1,2024-05-28 16:00:00,2024-05-28 16:00:00,2024-05-28,2.671875
2024-05,historical_average,-1,2,2024-05-28 16:00:00,2024-05-28 17:00:00,2024-05-28,3.0859375
2024-05,historical_average,-1,3,2024-05-28 16:00:00,2024-05-28 18:00:00,2024-05-28,2.375
2024-05,historical_average,-1,6,2024-05-28 16:00:00,2024-05-28 21:00:00,2024-05-28,3.3046875
2024-05,historical_average,-1,1,2024-05-28 17:00:00,2024-05-28 17:00:00,2024-05-28,3.0859375
2024-05,historical_average,-1,2,2024-05-28 17:00:00,2024-05-28 18:00:00,2024-05-28,2.375
2024-05,historical_average,-1,3,2024-05-28 17:00:00,2024-05-28 19:00:00,2024-05-28,3.1796875
2024-05,historical_average,-1,6,2024-05-28 17:00:00,2024-05-28 22:00:00,2024-05-28,3.6171875
2024-05,historical_average,-1,1,2024-05-28 18:00:00,2024-05-28 18:00:00,2024-05-28,2.375
2024-05,historical_average,-1,2,2024-05-28 18:00:00,2024-05-28 19:00:00,2024-05-28,3.1796875
2024-05,historical_average,-1,3,2024-05-28 18:00:00,2024-05-28 20:00:00,2024-05-28,3.1484375
2024-05,historical_average,-1,6,2024-05-28 18:00:00,2024-05-28 23:00:00,2024-05-28,3.1015625
2024-05,historical_average,-1,1,2024-05-28 19:00:00,2024-05-28 19:00:00,2024-05-28,3.1796875
2024-05,historical_average,-1,2,2024-05-28 19:00:00,2024-05-28 20:00:00,2024-05-28,3.1484375
2024-05,historical_average,-1,3,2024-05-28 19:00:00,2024-05-28 21:00:00,2024-05-28,3.3046875
2024-05,historical_average,-1,6,2024-05-28 19:00:00,2024-05-30 00:00:00,2024-05-30,3.484375
2024-05,historical_average,-1,1,2024-05-28 20:00:00,2024-05-28 20:00:00,2024-05-28,3.1484375
2024-05,historical_average,-1,2,2024-05-28 20:00:00,2024-05-28 21:00:00,2024-05-28,3.3046875
2024-05,historical_average,-1,3,2024-05-28 20:00:00,2024-05-28 22:00:00,2024-05-28,3.6171875
2024-05,historical_average,-1,6,2024-05-28 20:00:00,2024-05-30 01:00:00,2024-05-30,4.015625
2024-05,historical_average,-1,1,2024-05-28 21:00:00,2024-05-28 21:00:00,2024-05-28,3.3046875
2024-05,historical_average,-1,2,2024-05-28 21:00:00,2024-05-28 22:00:00,2024-05-28,3.6171875
2024-05,historical_average,-1,3,2024-05-28 21:00:00,2024-05-28 23:00:00,2024-05-28,3.1015625
2024-05,historical_average,-1,6,2024-05-28 21:00:00,2024-05-30 02:00:00,2024-05-30,5.1041669845581055
2024-05,historical_average,-1,1,2024-05-28 22:00:00,2024-05-28 22:00:00,2024-05-28,3.6171875
2024-05,historical_average,-1,2,2024-05-28 22:00:00,2024-05-28 23:00:00,2024-05-28,3.1015625
2024-05,historical_average,-1,3,2024-05-28 22:00:00,2024-05-30 00:00:00,2024-05-30,3.484375
2024-05,historical_average,-1,6,2024-05-28 22:00:00,2024-05-30 03:00:00,2024-05-30,6.7291669845581055
2024-05,historical_average,-1,1,2024-05-28 23:00:00,2024-05-28 23:00:00,2024-05-28,3.1015625
2024-05,historical_average,-1,2,2024-05-28 23:00:00,2024-05-30 00:00:00,2024-05-30,3.484375
2024-05,historical_average,-1,3,2024-05-28 23:00:00,2024-05-30 01:00:00,2024-05-30,4.015625
2024-05,historical_average,-1,6,2024-05-28 23:00:00,2024-05-30 04:00:00,2024-05-30,5.067708492279053
2024-05,historical_average,-1,1,2024-05-30 00:00:00,2024-05-30 00:00:00,2024-05-30,3.484375
2024-05,historical_average,-1,2,2024-05-30 00:00:00,2024-05-30 01:00:00,2024-05-30,4.015625
2024-05,historical_average,-1,3,2024-05-30 00:00:00,2024-05-30 02:00:00,2024-05-30,5.1041669845581055
2024-05,historical_average,-1,6,2024-05-30 00:00:00,2024-05-30 05:00:00,2024-05-30,4.5572919845581055
2024-05,historical_average,-1,1,2024-05-30 01:00:00,2024-05-30 01:00:00,2024-05-30,4.015625
2024-05,historical_average,-1,2,2024-05-30 01:00:00,2024-05-30 02:00:00,2024-05-30,5.1041669845581055
2024-05,historical_average,-1,3,2024-05-30 01:00:00,2024-05-30 03:00:00,2024-05-30,6.7291669845581055
2024-05,historical_average,-1,6,2024-05-30 01:00:00,2024-05-30 06:00:00,2024-05-30,3.0208334922790527
2024-05,historical_average,-1,1,2024-05-30 02:00:00,2024-05-30 02:00:00,2024-05-30,5.1041669845581055
2024-05,historical_average,-1,2,2024-05-30 02:00:00,2024-05-30 03:00:00,2024-05-30,6.7291669845581055
2024-05,historical_average,-1,3,2024-05-30 02:00:00,2024-05-30 04:00:00,2024-05-30,5.067708492279053
2024-05,historical_average,-1,6,2024-05-30 02:00:00,2024-05-30 07:00:00,2024-05-30,3.0416669845581055
2024-05,historical_average,-1,1,2024-05-30 03:00:00,2024-05-30 03:00:00,2024-05-30,6.7291669845581055
2024-05,historical_average,-1,2,2024-05-30 03:00:00,2024-05-30 04:00:00,2024-05-30,5.067708492279053
2024-05,historical_average,-1,3,2024-05-30 03:00:00,2024-05-30 05:00:00,2024-05-30,4.5572919845581055
2024-05,historical_average,-1,6,2024-05-30 03:00:00,2024-05-30 08:00:00,2024-05-30,2.5052084922790527
2024-05,historical_average,-1,1,2024-05-30 04:00:00,2024-05-30 04:00:00,2024-05-30,5.067708492279053
2024-05,historical_average,-1,2,2024-05-30 04:00:00,2024-05-30 05:00:00,2024-05-30,4.5572919845581055
2024-05,historical_average,-1,3,2024-05-30 04:00:00,2024-05-30 06:00:00,2024-05-30,3.0208334922790527
2024-05,historical_average,-1,6,2024-05-30 04:00:00,2024-05-30 09:00:00,2024-05-30,2.4427084922790527
2024-05,historical_average,-1,1,2024-05-30 05:00:00,2024-05-30 05:00:00,2024-05-30,4.5572919845581055
2024-05,historical_average,-1,2,2024-05-30 05:00:00,2024-05-30 06:00:00,2024-05-30,3.0208334922790527
2024-05,historical_average,-1,3,2024-05-30 05:00:00,2024-05-30 07:00:00,2024-05-30,3.0416669845581055
