sensor_id,selection_order,role,anchor_id,anchor_order,neighbor_rank,distance_to_anchor_km,train_coverage,post_train_coverage,latitude,longitude
sxk9td,47,local_neighbor,sxk9t9,15,2,0.610812818666065,0.9980119284294234,0.9907834101382489,41.0586547851563,29.0753173828125
sxkcd1,48,local_neighbor,sxkcd0,16,2,0.6108128186653576,1.0,1.0,41.0531616210938,29.2730712890625
sxk98c,49,local_neighbor,sxk991,1,3,0.9212285450273536,1.0,1.0,41.0531616210938,28.8665771484375
sx7ghe,50,local_neighbor,sx7ghq,2,3,2.0491922984687494,0.9960238568588469,0.9861751152073732,41.3278198242188,27.9766845703125
sxhzvr,51,local_neighbor,sxhzvt,3,3,1.5324014155946253,0.9960238568588469,1.0,40.7785034179688,29.4158935546875
sxk1se,52,local_neighbor,sxk1sf,4,3,1.1052337943568336,0.9980119284294234,1.0,41.0641479492188,28.3282470703125
sxkcv7,53,local_neighbor,sxkcvv,5,3,2.2092488640117915,0.9920477137176938,0.9907834101382489,41.1080932617188,29.4158935546875
sxk6fb,54,local_neighbor,sxk6g4,6,3,1.5281882500813164,0.9860834990059643,0.9769585253456221,41.2673950195313,28.6029052734375
sx7chw,55,local_neighbor,sx7chk,7,3,1.5305984545895726,0.9960238568588469,1.0,40.9927368164063,27.9766845703125
sxk8z3,56,local_neighbor,sxk8z9,8,3,0.9230722052397666,1.0,1.0,40.9213256835938,29.1522216796875
sxkdqs,57,local_neighbor,sxkdqg,9,3,1.1036291737685757,1.0,1.0,41.2014770507813,29.1192626953125
sx7fr8,58,local_neighbor,sx7fpz,10,3,1.1038861398146036,0.9980119284294234,0.9953917050691244,41.1795043945313,28.1085205078125
sxk36k,59,local_neighbor,sxk36u,11,3,1.8432260832436085,0.9980119284294234,1.0,41.0256958007813,28.5809326171875
sxkd86,60,local_neighbor,sxkd8d,12,3,0.9186855503299695,1.0,1.0,41.2344360351563,28.8446044921875
sxkbv5,61,local_neighbor,sxkbvj,13,3,1.2216256373314225,1.0,1.0,40.9323120117188,29.4049072265625
sxk4pr,62,local_neighbor,sxk4r8,14,3,1.1038861398148254,1.0,1.0,41.1740112304688,28.4490966796875
sxk9t3,63,local_neighbor,sxk9t9,15,3,0.9212285450273536,0.9920477137176938,1.0,41.0531616210938,29.0643310546875
sxkcd2,64,local_neighbor,sxkcd0,16,3,0.9213054616490259,0.9960238568588469,1.0,41.0476684570313,29.2840576171875
